Early Voting Locations,Total,04/22/24,04/23/24,04/24/24,04/25/24,04/26/24,04/27/24,04/28/24,04/29/24,*05/03/25
Adams Elementary School,70,0,0,0,0,0,0,0,0,70
Adams Hill Elementary School,110,0,0,0,0,0,0,0,0,110
Agnes Cotton Academy,244,0,0,0,0,0,0,0,0,244
Alamo Convocation Center,88,0,0,0,0,0,0,0,0,88
Alamo Heights City Hall,194,0,0,0,0,0,0,0,0,194
Alamo Heights ISD Admin. Bldg.,1143,90,64,88,105,74,52,145,307,218
Alan B. Shepard Middle School,67,0,0,0,0,0,0,0,0,67
Antonio Margil Elementary School,45,0,0,0,0,0,0,0,0,45
Artemisia Bowden Academy,115,0,0,0,0,0,0,0,0,115
Aue Elementary School,140,0,0,0,0,0,0,0,0,140
Barkley-Ruiz Elementary School,40,0,0,0,0,0,0,0,0,40
Beacon Hill Academy,84,0,0,0,0,0,0,0,0,84
Beard Elementary School,152,0,0,0,0,0,0,0,0,152
Behlau Elementary School,46,0,0,0,0,0,0,0,0,46
Bexar County Elections Department,2331,153,174,180,219,133,69,312,588,503
Bexar County Justice Center,910,97,88,83,90,20,6,137,295,94
Blossom Athletic Center,72,0,0,0,0,0,0,0,0,72
Bob Hope Elementary School,45,0,0,0,0,0,0,0,0,45
Bode Community Center,103,0,0,0,0,0,0,0,0,103
Boone Elementary School,170,0,0,0,0,0,0,0,0,170
Bradley Middle School,114,0,0,0,0,0,0,0,0,114
Brauchle Elementary School,124,0,0,0,0,0,0,0,0,124
Brentwood Steam School Innovation,111,0,0,0,0,0,0,0,0,111
Brookhill Baptist Church,41,0,0,0,0,0,0,0,0,41
Brookhollow Branch Library,6533,495,614,566,660,562,282,909,1343,1102
Bulverde Creek Elementary School,94,0,0,0,0,0,0,0,0,94
Burke Elementary School,97,0,0,0,0,0,0,0,0,97
Bush Middle School,151,0,0,0,0,0,0,0,0,151
Carlos Coon Elementary School,139,0,0,0,0,0,0,0,0,139
Carnahan Elementary School,146,0,0,0,0,0,0,0,0,146
Carson Elementary School,136,0,0,0,0,0,0,0,0,136
Castle Hills City Hall,2470,147,184,195,229,186,106,379,589,455
Central Library,99,0,0,0,0,0,0,0,0,99
Charles Graebner Elementary School,70,0,0,0,0,0,0,0,0,70
China Grove City Hall,48,0,0,0,0,0,0,0,0,48
Christa McAuliffe Middle School,73,0,0,0,0,0,0,0,0,73
Christian Family Baptist Church,418,20,23,23,20,10,12,26,65,109
Churchill High School,106,0,0,0,0,0,0,0,0,106
Cibolo Green Elementary School,40,0,0,0,0,0,0,0,0,40
City of Olmos Park City Hall,250,0,0,0,0,0,0,0,0,250
Clark High School,170,0,0,0,0,0,0,0,0,170
Claude Black Community Center,1163,91,70,86,70,67,40,158,309,272
Clear Spring Elementary School,55,0,0,0,0,0,0,0,0,55
Cody Branch Library,5566,429,455,446,539,522,258,753,1120,1044
Cody Elementary School,158,0,0,0,0,0,0,0,0,158
Collier Elementary School,71,0,0,0,0,0,0,0,0,71
Collins Garden Branch Library,326,0,0,0,0,0,0,0,0,326
Colonial Hills United Methodist Church,284,0,0,0,0,0,0,0,0,284
Community Alliance Traffic Safety,77,0,0,0,0,0,0,0,0,77
Connally Middle School,95,0,0,0,0,0,0,0,0,95
Copernicus Community Center,850,55,59,57,82,48,35,135,188,191
Coronado Village Elementary School,13,0,0,0,0,0,0,0,0,13
Cortez Branch Library,1351,108,85,101,123,137,67,174,285,271
Dellview Elementary School,145,0,0,0,0,0,0,0,0,145
East Central Development Center,22,0,0,0,0,0,0,0,0,22
East Central High School,28,0,0,0,0,0,0,0,0,28
East Central ISD Admin. Bldg.,712,48,79,73,84,58,23,85,138,124
East Terrell Hills Elementary Science Academy,104,0,0,0,0,0,0,0,0,104
Ed White Middle School,81,0,0,0,0,0,0,0,0,81
Edgewood Gym,65,0,0,0,0,0,0,0,0,65
El Dorado Elementary School,104,0,0,0,0,0,0,0,0,104
Ellison Elementary School,138,0,0,0,0,0,0,0,0,138
Elmendorf City Hall,208,10,12,20,27,12,7,22,38,60
Eloise Japhet Academy,42,0,0,0,0,0,0,0,0,42
Elolf Steam Academy,70,0,0,0,0,0,0,0,0,70
Elrod Elementary School,69,0,0,0,0,0,0,0,0,69
Encino Branch Library,3350,174,247,294,323,235,157,446,750,724
Esparza Elementary School,58,0,0,0,0,0,0,0,0,58
Evers Elementary School,158,0,0,0,0,0,0,0,0,158
Fair Oaks Ranch City Hall,240,0,0,0,0,0,0,0,0,240
Fernandez Elementary School,129,0,0,0,0,0,0,0,0,129
Fields Elementary School,54,0,0,0,0,0,0,0,0,54
First Chinese Baptist Church,160,0,0,0,0,0,0,0,0,160
Frank Madla Elementary School,73,0,0,0,0,0,0,0,0,73
Galm Elementary School,72,0,0,0,0,0,0,0,0,72
Gardendale Early Learning Program,54,0,0,0,0,0,0,0,0,54
Gillette Elementary School,37,0,0,0,0,0,0,0,0,37
Glenn Elementary School,93,0,0,0,0,0,0,0,0,93
Great Northwest Branch Library,4000,248,304,330,418,309,173,586,893,739
Grey Forest Community Center,25,0,0,0,0,0,0,0,0,25
Guerra Branch Library,263,0,0,0,0,0,0,0,0,263
Gus Garcia University School,31,0,0,0,0,0,0,0,0,31
Hardy Oak Elementary School,136,0,0,0,0,0,0,0,0,136
Harmony Elementary School,59,0,0,0,0,0,0,0,0,59
Harmony Hills Elementary School,208,0,0,0,0,0,0,0,0,208
Harry H. Rogers Middle School,126,0,0,0,0,0,0,0,0,126
Hartman Center II - Building,253,0,0,0,0,0,0,0,0,253
Hatchett Elementary School,95,0,0,0,0,0,0,0,0,95
Health Careers High School,99,0,0,0,0,0,0,0,0,99
Hector Garcia Middle School,67,0,0,0,0,0,0,0,0,67
Helotes Elementary School,66,0,0,0,0,0,0,0,0,66
Henderson Elementary School,79,0,0,0,0,0,0,0,0,79
Henry A. Guerra Jr. Library,1212,115,110,112,129,113,49,213,371,0
Henry Wadsworth Longfellow Middle School,80,0,0,0,0,0,0,0,0,80
Herman Hirsch Elementary School,45,0,0,0,0,0,0,0,0,45
Hidden Forest Elementary School,101,0,0,0,0,0,0,0,0,101
Highland Hills Elementary School,57,0,0,0,0,0,0,0,0,57
Hill Country Village City Hall,114,0,0,0,0,0,0,0,0,114
Hollywood Park City Hall,157,0,0,0,0,0,0,0,0,157
Honor Elementary School,48,0,0,0,0,0,0,0,0,48
Hope Church,188,0,0,0,0,0,0,0,0,188
Huebner Elementary School,362,0,0,0,0,0,0,0,0,362
Huisache Avenue Baptist Church,121,0,0,0,0,0,0,0,0,121
Hunters Creek Swim and Racquet Club,240,0,0,0,0,0,0,0,0,240
Igo Branch Library,4076,248,286,290,406,364,202,541,952,787
Indian Springs Elementary School,106,0,0,0,0,0,0,0,0,106
Joe Ward Recreation Center,210,0,0,0,0,0,0,0,0,210
John Greenleaf Whittier Middle School,75,0,0,0,0,0,0,0,0,75
John Hoffmann Elementary School,87,0,0,0,0,0,0,0,0,87
