Early Voting Locations,Total,10/21/24,10/22/24,10/23/24,10/24/24,10/25/24,10/26/24,10/27/24,10/28/24,10/29/24,10/30/24,10/31/24,11/01/24,*11/05/24
Adams Elementary School,474,0,0,0,0,0,0,0,0,0,0,0,0,474
Adams Hill Elementary School,701,0,0,0,0,0,0,0,0,0,0,0,0,701
Adante Independent Living,237,0,0,0,0,0,0,0,0,0,0,0,0,237
Agnes Cotton Academy,425,0,0,0,0,0,0,0,0,0,0,0,0,425
Alamo Convocation Center,261,0,0,0,0,0,0,0,0,0,0,0,0,261
Alamo Heights City Hall,541,0,0,0,0,0,0,0,0,0,0,0,0,541
Alamo Heights United Methodist Church,666,0,0,0,0,0,0,0,0,0,0,0,0,666
Alan B. Shepard Middle School,353,0,0,0,0,0,0,0,0,0,0,0,0,353
Antonio Margil Elementary School,304,0,0,0,0,0,0,0,0,0,0,0,0,304
Artemisia Bowden Academy,312,0,0,0,0,0,0,0,0,0,0,0,0,312
Aue Elementary School,674,0,0,0,0,0,0,0,0,0,0,0,0,674
Barkley-Ruiz Elementary School,312,0,0,0,0,0,0,0,0,0,0,0,0,312
Beacon Hill Academy,239,0,0,0,0,0,0,0,0,0,0,0,0,239
Beard Elementary School,449,0,0,0,0,0,0,0,0,0,0,0,0,449
Beasley Brown Community Center,84,0,0,0,0,0,0,0,0,0,0,0,0,84
Behlau Elementary School,601,0,0,0,0,0,0,0,0,0,0,0,0,601
Bella Cameron Elementary School,192,0,0,0,0,0,0,0,0,0,0,0,0,192
Bethany Romanian Pentecostal Church,521,0,0,0,0,0,0,0,0,0,0,0,0,521
Bexar County Elections Department,7677,782,772,705,732,757,479,224,671,679,604,594,759,719
Bexar County Justice Center,5062,568,573,563,555,488,102,87,541,527,455,376,478,382
Big Country Elementary School,923,0,0,0,0,0,0,0,0,0,0,0,0,923
Blossom Athletic Center,216,0,0,0,0,0,0,0,0,0,0,0,0,216
Bob Hope Elementary School,402,0,0,0,0,0,0,0,0,0,0,0,0,402
Bode Community Center,332,0,0,0,0,0,0,0,0,0,0,0,0,332
Boone Elementary School,442,0,0,0,0,0,0,0,0,0,0,0,0,442
Bradley Middle School,375,0,0,0,0,0,0,0,0,0,0,0,0,375
Brandeis High School,538,0,0,0,0,0,0,0,0,0,0,0,0,538
Brauchle Elementary School,531,0,0,0,0,0,0,0,0,0,0,0,0,531
Brentwood Steam School Innovation,413,0,0,0,0,0,0,0,0,0,0,0,0,413
Brookhill Baptist Church,349,0,0,0,0,0,0,0,0,0,0,0,0,349
Brookhollow Branch Library,22428,1689,1724,1887,1997,2022,2195,1166,2229,2192,2022,1864,2080,1361
Bulverde Creek Elementary School,532,0,0,0,0,0,0,0,0,0,0,0,0,532
Burke Elementary School,480,0,0,0,0,0,0,0,0,0,0,0,0,480
Bush Middle School,833,0,0,0,0,0,0,0,0,0,0,0,0,833
Candlewood Elementary School,495,0,0,0,0,0,0,0,0,0,0,0,0,495
Carlos Coon Elementary School,503,0,0,0,0,0,0,0,0,0,0,0,0,503
Carnahan Elementary School,538,0,0,0,0,0,0,0,0,0,0,0,0,538
Carson Elementary School,480,0,0,0,0,0,0,0,0,0,0,0,0,480
CAST Med High School,189,0,0,0,0,0,0,0,0,0,0,0,0,189
Castle Hills City Hall,12276,1011,1123,1122,1136,1137,1210,653,1279,1230,1221,1096,1286,772
Central Library,425,0,0,0,0,0,0,0,0,0,0,0,0,425
Charles Clyde Ball Academy,202,0,0,0,0,0,0,0,0,0,0,0,0,202
Charles Graebner Elementary School,242,0,0,0,0,0,0,0,0,0,0,0,0,242
China Grove City Hall,150,0,0,0,0,0,0,0,0,0,0,0,0,150
Christian Family Baptist Church,12354,775,866,1302,1337,1450,1403,665,1561,1519,1514,1345,2035,1222
Christian Family Church,182,0,0,0,0,0,0,0,0,0,0,0,0,182
Church of Reconciliation,476,0,0,0,0,0,0,0,0,0,0,0,0,476
Churchill High School,554,0,0,0,0,0,0,0,0,0,0,0,0,554
Cibolo Green Elementary School,770,0,0,0,0,0,0,0,0,0,0,0,0,770
