"Early Voting Location","Total","10/20/25","10/21/25","10/22/25","10/23/25","10/24/25","10/25/25","10/26/25","10/27/25","10/28/25","10/29/25"
"Bexar County Elections Department","1711","204","192","213","211","212","112","37","169","170","191"
"Bexar County Justice Center","1447","175","224","234","197","135","0","20","132","164","186"
"Brookhollow Branch Library","6199","585","709","675","686","697","518","738","577","748","784"
"Castle Hills City Hall","2489","215","314","295","240","283","157","79","239","301","366"
"Christian Family Baptist Church","1165","91","121","120","98","131","118","42","149","161","134"
"Claude Black Community Center","987","140","177","127","98","78","47","22","93","97","108"
"Cody Branch Library","4524","465","360","505","458","499","384","154","480","506","553"
"Collins Garden Branch Library","829","82","89","99","82","84","82","18","79","98","116"
"Converse Community Event Center","2062","255","238","222","207","226","150","44","200","255","265"
"Copernicus Community Center","682","70","82","76","49","80","55","68","84","84","89"
"Cortez Branch Library","802","98","114","82","86","76","71","20","83","78","94"
"East Central ISD Admin","630","58","55","74","90","72","57","17","54","62","90"
"Encino Branch Library","4819","387","489","503","493","554","377","549","498","633","713"
"Fair Oaks Ranch Police Dept.","2240","175","232","197","262","277","176","238","251","270","338"
"Frank Garrett Multi Service Center","209","18","32","22","24","14","16","9","13","24","37"
"Great Northwest Branch Library","4018","377","496","384","437","460","295","166","424","451","528"
"Guerra Branch Library","1449","174","163","174","155","153","104","30","135","174","191"
"Igo Branch Library","4920","415","476","523","492","566","428","234","539","546","701"
"Johnston Branch Library","1331","172","164","138","129","134","94","57","115","177","163"
"Kirby City Hall","823","91","80","85","79","106","51","5","84","85","141"
"Leon Valley Conference Center","2500","240","266","279","256","282","195","145","270","279","363"
"Lion's Field Adult and Senior Center","5119","596","633","511","540","555","326","476","526","622","660"
"Macedonia Baptist Church","288","23","22","20","32","40","27","27","18","35","42"
"Maverick Branch Library","4330","425","518","493","428","549","295","289","419","473","565"
"McCreless Branch Library","2490","304","289","281","254","270","209","56","228","278","320"
"Memorial Branch Library","1346","155","168","162","127","144","120","39","102","134","195"
"Mission Branch Library","1947","284","254","200","177","190","167","57","160","211","247"
"Northeast Lakeview College","668","61","48","62","69","73","49","62","78","76","119"
"Northside Activity Center","1876","185","231","207","198","202","145","27","197","227","254"
"Northwest Vista College","2558","225","271","218","249","290","209","91","253","327","416"
"Our Lady of the Lake University","766","84","92","78","86","81","55","0","62","103","97"
"Palo Alto College","355","37","36","33","41","46","23","0","41","48","47"
"Parman Branch Library @ Stone Oak","4355","294","460","469","502","471","341","34","446","496","578"
"Precinct 1 Satellite Office","1126","132","147","136","99","127","43","17","130","130","159"
"Precinct 3 Satellite Office","2133","205","255","232","216","210","127","57","225","266","345"
"San Antonio College","1597","157","178","179","149","157","120","29","189","188","221"
"Schaefer Branch Library","1387","163","154","157","137","151","106","19","147","175","170"
"Semmes Branch Library","4191","453","540","496","439","452","281","96","400","447","533"
"Shavano Park City Hall","3347","196","475","374","339","366","285","67","352","393","452"
"Somerset City Hall","332","22","31","19","36","38","18","10","33","34","66"
"Southside ISD Administration Building","354","23","47","34","33","51","24","16","39","57","35"
"St Hedwig City Hall","432","38","40","53","29","38","27","21","44","76","70"
"St. Phillips College","230","20","25","24","14","20","10","3","22","33","59"
"Texas A&M University","354","37","41","42","32","32","14","1","41","54","59"
"Thousand Oaks Branch Library","971","84","98","111","97","108","83","52","107","123","118"
"Tobin Branch Library @ Oakwell","4532","459","534","497","514","471","349","59","472","501","578"
"Universal City Library","2205","220","267","245","230","231","138","45","249","278","302"
"University of Texas at San Antonio","1614","123","153","133","232","160","138","24","154","249","238"
"Windcrest Civic Center","1754","198","191","195","139","161","122","62","228","227","235"
"Wonderland Mall of the Americas","3384","376","361","339","340","341","340","199","346","367","420"
"Woodlawn Pointe Center Community","782","92","61","69","102","98","65","34","72","86","105"
"Total in Person","102659","10158","11693","11096","10709","11242","7743","1048","10448","12077","13856"
