Early Voting Locations,Total,05/24/21,05/25/21,05/26/21,05/27/21,05/28/21,05/29/21,06/01/21,*06/05/21
Adams Elementary School,53,0,0,0,0,0,0,0,53
Agnes Cotton Academy,143,0,0,0,0,0,0,0,143
Alamo Convocation Center,52,0,0,0,0,0,0,0,52
Alamo Heights City Hall,14,0,0,0,0,0,0,0,14
Antonio Margil Elementary,24,0,0,0,0,0,0,0,24
Artemisia Bowden Academy,72,0,0,0,0,0,0,0,72
Barkley-Ruiz Elementary School,49,0,0,0,0,0,0,0,49
Beacon Hill Academy,39,0,0,0,0,0,0,0,39
Bella Cameron Elementary,18,0,0,0,0,0,0,0,18
Bellaire Elementary School,58,0,0,0,0,0,0,0,58
Bexar County Elections Department,833,53,82,74,58,100,75,190,201
Blossom Athletic Center,51,0,0,0,0,0,0,0,51
Bode Community Center,37,0,0,0,0,0,0,0,37
Bonham Academy,98,0,0,0,0,0,0,0,98
Bradley Middle School,60,0,0,0,0,0,0,0,60
Brentwood Steam School II,93,0,0,0,0,0,0,0,93
Brookhollow Branch Library,5289,689,754,616,576,635,587,712,720
Bush Middle School,152,0,0,0,0,0,0,0,152
Castle Hills City Hall,2135,274,277,249,248,277,245,401,164
Central Library,33,0,0,0,0,0,0,0,33
Charles Graebner Elementary,40,0,0,0,0,0,0,0,40
Churchill High School,111,0,0,0,0,0,0,0,111
Claude Black Community Center,862,82,90,116,92,75,99,176,132
Clear Spring Elementary School,25,0,0,0,0,0,0,0,25
Cleto L. Rodriguez Elementary,2,0,0,0,0,0,0,0,2
Collier Elementary School,34,0,0,0,0,0,0,0,34
Collins Garden Branch Library,1050,80,93,100,100,123,121,171,262
Colonial Hills United Methodist,289,0,0,0,0,0,0,0,289
Copernicus Community Center,604,47,85,64,73,71,54,129,81
Crockett Academy,31,0,0,0,0,0,0,0,31
Dellview Elementary School,131,0,0,0,0,0,0,0,131
Dwight Middle School,31,0,0,0,0,0,0,0,31
East Terrell Hills Elem. Science,50,0,0,0,0,0,0,0,50
Ed White Middle School,53,0,0,0,0,0,0,0,53
Edgewood Gym,7,0,0,0,0,0,0,0,7
Eloise Japhet Academy,37,0,0,0,0,0,0,0,37
Encino Branch Library,2207,297,332,216,175,286,227,304,370
Faith Lutheran Church,91,0,0,0,0,0,0,0,91
Gardendale Early Learning,27,0,0,0,0,0,0,0,27
Gillette Elementary School,41,0,0,0,0,0,0,0,41
Grace Bible Chapel,217,0,0,0,0,0,0,0,217
Gus Garcia University School,24,0,0,0,0,0,0,0,24
Hardy Oak Elementary School,116,0,0,0,0,0,0,0,116
Harmony Hills Elementary,177,0,0,0,0,0,0,0,177
Harry H. Rogers Middle School,52,0,0,0,0,0,0,0,52
Hartman Center II - Building,393,0,0,0,0,0,0,0,393
Herman Hirsch Elementary,22,0,0,0,0,0,0,0,22
Highland Hills Elementary,35,0,0,0,0,0,0,0,35
Huebner Elementary School,527,0,0,0,0,0,0,0,527
Huisache Avenue Baptist Church,96,0,0,0,0,0,0,0,96
Huppertz Elementary School,11,0,0,0,0,0,0,0,11
Inez Foster Elementary School,28,0,0,0,0,0,0,0,28
James Russell Lowell Middle School,38,0,0,0,0,0,0,0,38
John Greenleaf Whittier Middle School,69,0,0,0,0,0,0,0,69
John Marshall High School,41,0,0,0,0,0,0,0,41
Johnston Branch Library,0,0,0,0,0,0,0,0,0
Kate Schenck Elementary School,49,0,0,0,0,0,0,0,49
Kenwood Community Center,101,0,0,0,0,0,0,0,101
Kingsborough Middle School,70,0,0,0,0,0,0,0,70
Krueger Middle School,38,0,0,0,0,0,0,0,38
Larkspur Elementary School,166,0,0,0,0,0,0,0,166
Las Lomas Elementary School,81,0,0,0,0,0,0,0,81
Las Palmas Branch Library,1169,119,103,135,93,132,158,192,237
Laurel Heights United Methodist,137,0,0,0,0,0,0,0,137
Lion's Field Adult and Senior Center,1750,161,165,187,147,194,217,379,300
Lopez Middle School,94,0,0,0,0,0,0,0,94
Luther Burbank High School,24,0,0,0,0,0,0,0,24
Martin Luther King Jr. Academy,20,0,0,0,0,0,0,0,20
McCreless Branch Library,1217,121,139,135,106,148,138,207,223
Metzger Middle School,2,0,0,0,0,0,0,0,2
Miguel Carrillo, Jr. Elem School,6,0,0,0,0,0,0,0,6
Mirabeau B. Lamar Elementary,69,0,0,0,0,0,0,0,69
Mission Academy,42,0,0,0,0,0,0,0,42
Mission Branch Library,1329,142,148,128,121,166,131,245,248
Mission Del Lago Community,57,0,0,0,0,0,0,0,57
Mount Calvary Lutheran Evangelical,10,0,0,0,0,0,0,0,10
Nimitz Middle School,43,0,0,0,0,0,0,0,43
Northside Activity Center,0,0,0,0,0,0,0,0,0
Northwest Vista College,0,0,0,0,0,0,0,0,0
Northwood Elementary School,0,0,0,0,0,0,0,0,0
Oak Grove Elementary School,0,0,0,0,0,0,0,0,0
Oak Hills Terrace Elementary,0,0,0,0,0,0,0,0,0
Ogden Elementary School,37,0,0,0,0,0,0,0,37
Ollie Perry Storm Elem School,11,0,0,0,0,0,0,0,11
Olmos Elementary School,71,0,0,0,0,0,0,0,71
Palo Alto College,61,8,3,4,10,3,12,17,4
Park Village Blended Learning,73,0,0,0,0,0,0,0,73
Parman Branch Library @ Stone Oak,3142,363,345,368,361,357,357,481,510
Paschall Elementary School,75,0,0,0,0,0,0,0,75
Pease Middle School,145,0,0,0,0,0,0,0,145
Pecan Valley Elementary School,45,0,0,0,0,0,0,0,45
Poe Middle School,35,0,0,0,0,0,0,0,35
Powell Elementary School,81,0,0,0,0,0,0,0,81
Pre-K Academy At West Avenue,83,0,0,0,0,0,0,0,83
Precinct 1 Satellite Office,0,0,0,0,0,0,0,0,0
Precinct 3 Satellite Office,0,0,0,0,0,0,0,0,0
Raba Elementary School,0,0,0,0,0,0,0,0,0
Ramirez Community Center,0,0,0,0,0,0,0,0,0
Rawlinson Middle School,0,0,0,0,0,0,0,0,0
Rayburn Elementary School,41,0,0,0,0,0,0,0,41
Redland Oaks Elementary School,0,0,0,0,0,0,0,0,0
