Early Voting Locations,Total,05/27/25,05/28/25,05/29/25,05/30/25,05/31/25,06/01/25,06/02/25
Bexar County Elections Department,1882,331,305,265,279,240,104,358
Bexar County Justice Center,821,157,204,157,135,0,0,168
Brookhollow Branch Library,7681,1403,1332,1233,1136,1171,429,977
Claude Black Community Center,714,129,114,105,76,97,66,127
Cody Branch Library,8297,1473,1345,1277,1247,1278,473,1204
Copernicus Community Center,623,102,94,102,92,76,34,123
Cortez Branch Library,891,155,147,134,133,131,58,133
East Central High School,126,28,12,27,9,23,9,18
Encino Branch Library,3206,523,564,486,453,504,210,466
Great Northwest Branch Library,3869,634,697,589,581,616,199,553
Henry A. Guerra Jr. Library,1380,260,238,215,178,205,74,210
Igo Branch Library,3702,602,575,542,592,594,233,564
Johnston Branch Library,1032,222,161,153,153,117,36,190
Lion's Field Adult and Senior Center,3477,631,538,545,479,525,205,554
Macedonia Baptist Church,204,35,27,16,28,29,38,31
Maury Maverick Jr. Library,4925,847,812,759,754,743,278,732
McCreless Branch Library,2417,452,385,323,338,352,146,421
Memorial Branch Library,1826,354,299,289,252,240,90,302
Mission Branch Library,2041,328,321,315,292,353,119,313
Northside Activity Center,1888,335,304,298,281,259,86,325
Northwest Vista College,778,132,120,82,116,112,66,150
Our Lady of the Lake University,803,142,154,119,92,116,43,137
Palo Alto College,259,42,42,28,39,56,11,41
Parman Branch Library @ Stone Oak,3883,646,631,611,574,598,275,548
Precinct 1 Satellite Office,1034,213,176,168,145,144,19,169
Precinct 3 Satellite Office,2780,500,458,487,440,394,144,357
San Antonio College,1781,314,297,260,228,297,109,276
Schaefer Branch Library,720,139,120,115,96,91,54,105
Julia Yates Semmes Library,4853,840,836,734,707,747,259,730
St. Phillips College,135,25,16,24,24,10,11,25
Tobin Branch Library @ Oakwell,4713,835,813,701,675,678,279,732
University of Texas at San Antonio,964,127,142,154,143,172,55,171
Wonderland Mall of the Americas,4659,743,758,666,673,776,319,724
Total in Person,78364,13699,13037,11979,11440,11744,4531,11934
