Early Voting Locations,Total,04/19/21,04/20/21,04/21/21,04/22/21,04/23/21,04/24/21,04/26/21,04/27/21,*05/01/21
Adams Elementary School,159,0,0,0,0,0,0,0,0,159
Adams Hill Elementary School,128,0,0,0,0,0,0,0,0,128
Agnes Cotton Academy,266,0,0,0,0,0,0,0,0,266
Alamo Convocation Center,117,0,0,0,0,0,0,0,0,117
Alamo Heights City Hall,504,0,0,0,0,0,0,0,0,504
Alamo Heights ISD Admin. Bldg.,333,0,0,0,0,0,0,0,0,333
Alan B. Shepard Middle School,84,0,0,0,0,0,0,0,0,84
Antonio Margil Elementary School,67,0,0,0,0,0,0,0,0,67
Artemisia Bowden Academy,156,0,0,0,0,0,0,0,0,156
Aue Elementary School,144,0,0,0,0,0,0,0,0,144
Balcones Heights City Hall,0,0,0,0,0,0,0,0,0,0
Barkley-Ruiz Elementary School,75,0,0,0,0,0,0,0,0,75
Beard Elementary School,242,0,0,0,0,0,0,0,0,242
Beacon Hill Academy,94,0,0,0,0,0,0,0,0,94
Bella Cameron Elementary School,30,0,0,0,0,0,0,0,0,30
Bellaire Elementary School,132,0,0,0,0,0,0,0,0,132
Bexar County Elections Department,2187,140,167,146,145,132,146,336,650,325
Big Country Elementary School,0,0,0,0,0,0,0,0,0,0
Blattman Elementary School,0,0,0,0,0,0,0,0,0,0
Blossom Athletic Center,128,0,0,0,0,0,0,0,0,128
Bob Hope Elementary School,80,0,0,0,0,0,0,0,0,80
Bode Community Center,146,0,0,0,0,0,0,0,0,146
Bonham Academy,204,0,0,0,0,0,0,0,0,204
Boone Elementary School,215,0,0,0,0,0,0,0,0,215
Bradley Middle School,180,0,0,0,0,0,0,0,0,180
Brandeis High School,0,0,0,0,0,0,0,0,0,0
Brauchle Elementary School,196,0,0,0,0,0,0,0,0,196
Brentwood Steam School II,100,0,0,0,0,0,0,0,0,100
Brookhollow Branch Library,9273,579,770,831,911,909,1012,1424,1528,1309
Bulverde Creek Elementary School,139,0,0,0,0,0,0,0,0,139
Burke Elementary School,155,0,0,0,0,0,0,0,0,155
Bush Middle School,314,0,0,0,0,0,0,0,0,314
Candlewood Elementary School,35,0,0,0,0,0,0,0,0,35
Carnahan Elementary School,187,0,0,0,0,0,0,0,0,187
Carlos Coon Elementary School,185,0,0,0,0,0,0,0,0,185
Carson Elementary School,198,0,0,0,0,0,0,0,0,198
Castle Hills City Hall,3734,171,211,255,267,320,396,684,894,536
Central Library,146,0,0,0,0,0,0,0,0,146
Charles Clyde Ball Academy,0,0,0,0,0,0,0,0,0,0
Charles Graebner Elementary School,82,0,0,0,0,0,0,0,0,82
China Grove City Hall,0,0,0,0,0,0,0,0,0,0
Christian Family Baptist Church,0,0,0,0,0,0,0,0,0,0
Church of Reconciliation,192,0,0,0,0,0,0,0,0,192
Churchill High School,138,0,0,0,0,0,0,0,0,138
Cibolo Green Elementary School,23,0,0,0,0,0,0,0,0,23
Olmos Park City Hall,0,0,0,0,0,0,0,0,0,0
Clark High School,185,0,0,0,0,0,0,0,0,185
Claude Black Community Center,1758,129,100,117,116,87,179,283,456,291
Clear Spring Elementary School,70,0,0,0,0,0,0,0,0,70
Cleto L. Rodriguez Elementary School,15,0,0,0,0,0,0,0,0,15
Cody Branch Library,5973,400,484,535,475,539,703,805,1241,791
Cody Elementary School,194,0,0,0,0,0,0,0,0,194
Cole Elementary School,0,0,0,0,0,0,0,0,0,0
Colby Glass Elementary School,0,0,0,0,0,0,0,0,0,0
Collier Elementary School,141,0,0,0,0,0,0,0,0,141
Collins Garden Branch Library,2165,139,136,126,143,149,238,341,528,365
Colonial Hills United Methodist Church,333,0,0,0,0,0,0,0,0,333
Colonies North Elementary School,186,0,0,0,0,0,0,0,0,186
