Early Voting Locations,Total,04/24/23,04/25/23,04/26/23,04/27/23,04/29/23,05/01/23,05/02/23,*05/06/23
Adams Elementary School,104,0,0,0,0,0,0,0,104
Adams Hill Elementary School,135,0,0,0,0,0,0,0,135
Adante Independent Living,0,0,0,0,0,0,0,0,0
Agnes Cotton Academy,344,0,0,0,0,0,0,0,344
Alamo Convocation Center,143,0,0,0,0,0,0,0,143
Alamo Heights City Hall,693,0,0,0,0,0,0,0,242
Alamo Heights ISD Admin. Bldg,2400,126,131,155,200,257,406,671,454
Alan B. Shepard Middle School,57,0,0,0,0,0,0,0,57
Antonio Margil Elementary,60,0,0,0,0,0,0,0,60
Artemisia Bowden Academy,108,0,0,0,0,0,0,0,108
Barkley-Ruiz Elementary School,75,0,0,0,0,0,0,0,75
Beard Elementary School,207,0,0,0,0,0,0,0,207
Beacon Hill Academy,94,0,0,0,0,0,0,0,94
Behlau Elementary School,79,0,0,0,0,0,0,0,79
Bella Cameron Elementary,41,0,0,0,0,0,0,0,41
Bexar County Elections Department,2325,170,149,154,226,115,367,663,481
Bexar County Justice Center,1051,77,95,90,114,0,191,366,59
Big Country Elementary School,0,0,0,0,0,0,0,0,0
Blossom Athletic Center,91,0,0,0,0,0,0,0,91
Bob Hope Elementary School,109,0,0,0,0,0,0,0,109
Bode Community Center,135,0,0,0,0,0,0,0,135
Boone Elementary School,207,0,0,0,0,0,0,0,207
Bradley Middle School,164,0,0,0,0,0,0,0,164
Brauchle Elementary School,169,0,0,0,0,0,0,0,169
Brentwood Steam School II,90,0,0,0,0,0,0,0,90
Brookhollow Branch Library,9537,829,881,1022,1048,1155,1540,1934,1128
Bulverde Creek Elementary,151,0,0,0,0,0,0,0,151
Burke Elementary School,128,0,0,0,0,0,0,0,128
Bush Middle School,219,0,0,0,0,0,0,0,219
Carnahan Elementary School,204,0,0,0,0,0,0,0,204
Carlos Coon Elementary School,245,0,0,0,0,0,0,0,245
Carson Elementary School,238,0,0,0,0,0,0,0,238
Castle Hills City Hall,4201,293,354,377,372,450,718,1008,629
Central Library,112,0,0,0,0,0,0,0,112
Charles Graebner Elementary,69,0,0,0,0,0,0,0,69
China Grove City Hall,71,0,0,0,0,0,0,0,71
Christa McAuliffe Middle School,74,0,0,0,0,0,0,0,74
Christian Family Baptist Church,0,0,0,0,0,0,0,0,0
Church Of Reconciliation,191,0,0,0,0,0,0,0,191
Churchill High School,167,0,0,0,0,0,0,0,167
Cibolo Green Elementary School,34,0,0,0,0,0,0,0,34
Clark High School,126,0,0,0,0,0,0,0,126
Claude Black Community Center,1916,138,155,119,130,134,251,403,293
Clear Spring Elementary School,59,0,0,0,0,0,0,0,59
Cody Branch Library,6585,507,619,611,651,797,1118,1329,953
Cody Elementary School,187,0,0,0,0,0,0,0,187
Cole Elementary School,76,0,0,0,0,0,0,0,76
Collier Elementary School,121,0,0,0,0,0,0,0,121
Collins Garden Branch Library,314,0,0,0,0,0,0,0,314
Colonial Hills United Methodist,247,0,0,0,0,0,0,0,247
Colonies North Elementary,188,0,0,0,0,0,0,0,188
Community Alliance Traffic,113,0,0,0,0,0,0,0,113
Connally Middle School,145,0,0,0,0,0,0,0,145
Converse City Hall (Old),216,0,0,0,0,0,0,0,216
Converse Senior Center,880,58,70,101,107,108,173,263,0
Copernicus Community Center,1144,72,109,112,106,113,174,272,186
Cortez Branch Library,1316,55,98,80,93,120,176,390,304
Crockett Academy,31,0,0,0,0,0,0,0,31
Davis-Scott Family YMCA,113,0,0,0,0,0,0,0,113
Dellview Elementary School,232,0,0,0,0,0,0,0,232
East Central ISD Admin,168,12,23,14,16,17,28,58,0
East Central ISD Board Room,31,0,0,0,0,0,0,0,31
East Terrell Hills Elem. Science,144,0,0,0,0,0,0,0,144
Ed White Middle School,105,0,0,0,0,0,0,0,105
Edgewood Gym,45,0,0,0,0,0,0,0,45
E.T. Wrenn Middle School,70,0,0,0,0,0,0,0,70
El Dorado Elementary School,147,0,0,0,0,0,0,0,147
