Early Voting Locations,Total,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,*11/03/20
Adams Elementary School,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
Adams Hill Elementary School,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356
Adante Independent Living,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agnes Cotton Academy,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
Alamo Convocation Center,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
Alamo Heights City Hall,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
Alamo Heights ISD Admin. Bldg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alamo Heights United Methodist,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416
Alan B. Shepard Middle School,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
Alzafar Shrine Auditorium,23878,1057,1228,1552,1720,1503,839,1775,1853,1803,1690,1645,955,589,1133,1038,1068,1116,1314,0
Antonio Margil Elementary,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
Artemisia Bowden Academy,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
Att Center,22539,1560,2138,2111,2402,1694,994,1611,1517,1217,923,1020,795,444,625,566,620,700,982,620
Aue Elementary School,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397
Balcones Heights City Hall,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
Barkley-Ruiz Elementary School,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
Beard Elementary School,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
Beacon Hill Academy,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
Behlau Elementary School,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424
Bella Cameron Elementary,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
Bexar County Elections Department,7702,553,583,569,587,368,201,540,504,433,347,386,198,121,321,350,327,366,468,480
Big Country Elementary School,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614
Blessed Sacrament Catholic Church,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202
Blattman Elementary School,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
