Early Voting Locations,Total,10/24/22,10/25/22,10/26/22,10/27/22,10/28/22,10/29/22,10/30/22,10/31/22,11/01/22,11/02/22,11/03/22,11/04/22,*11/08/22
Adams Elementary School,396,0,0,0,0,0,0,0,0,0,0,0,0,396
Adante Independent Living,278,0,0,0,0,0,0,0,0,0,0,0,0,278
Agnes Cotton Academy,416,0,0,0,0,0,0,0,0,0,0,0,0,416
Alamo Convocation Center,286,0,0,0,0,0,0,0,0,0,0,0,0,286
Alamo Heights City Hall,659,0,0,0,0,0,0,0,0,0,0,0,0,659
Alamo Heights ISD Admin. Bldg,1946,126,131,155,200,257,0,0,0,406,0,0,671,0
Alan B. Shepard Middle School,337,0,0,0,0,0,0,0,0,0,0,0,0,337
Alzafar Shrine Auditorium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Margil Elementary,181,0,0,0,0,0,0,0,0,0,0,0,0,181
Artemisia Bowden Academy,306,0,0,0,0,0,0,0,0,0,0,0,0,306
Att Center,0,0,0,0,0,0,0,0,0,0,0,0,0
Aue Elementary School,895,0,0,0,0,0,0,0,0,0,0,0,0,895
Balcones Heights City Hall,0,0,0,0,0,0,0,0,0,0,0,0,0
Barkley-Ruiz Elementary School,214,0,0,0,0,0,0,0,0,0,0,0,0,214
Beard Elementary School,624,0,0,0,0,0,0,0,0,0,0,0,0,624
Beacon Hill Academy,215,0,0,0,0,0,0,0,0,0,0,0,0,215
Behlau Elementary School,523,0,0,0,0,0,0,0,0,0,0,0,0,523
Bella Cameron Elementary,159,0,0,0,0,0,0,0,0,0,0,0,0,159
Bethany Romanian Pentecostal Church,624,0,0,0,0,0,0,0,0,0,0,0,0,624
Bexar County Elections Department,6293,602,517,469,488,449,289,101,382,392,407,575,766,856
Bexar County Justice Center,3316,431,379,284,280,249,0,0,235,240,189,249,380,400
Big Country Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0
Blattman Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0
Blossom Athletic Center,255,0,0,0,0,0,0,0,0,0,0,0,0,255
Bob Hope Elementary School,205,0,0,0,0,0,0,0,0,0,0,0,0,205
Bode Community Center,341,0,0,0,0,0,0,0,0,0,0,0,0,341
Boone Elementary School,560,0,0,0,0,0,0,0,0,0,0,0,0,560
Bradley Middle School,410,0,0,0,0,0,0,0,0,0,0,0,0,410
Brandeis High School,503,0,0,0,0,0,0,0,0,0,0,0,0,503
Brauchle Elementary School,472,0,0,0,0,0,0,0,0,0,0,0,0,472
