Early Voting Locations,Total,10/21/24,10/22/24,10/23/24,10/24/24,10/25/24,10/26/24,10/27/24,10/28/24,10/29/24,10/30/24,10/31/24,11/01/24
Bexar County Elections Department,6958,782,772,705,732,757,479,224,671,679,604,594,759
Bexar County Justice Center,4680,568,573,563,555,488,102,87,541,527,455,376,478
Brookhollow Branch Library,21067,1689,1724,1887,1997,2022,2195,1166,2229,2192,2022,1864,2080
Castle Hills City Hall,11504,1011,1123,1122,1136,1137,1210,653,1279,1230,1221,1096,1286
Christian Family Baptist Church,11132,775,866,1302,1337,1450,1403,665,1561,1519,1514,1345,2035
Claude Black Community Center,5649,707,681,640,520,525,435,219,479,434,444,422,643
Cody Branch Library,14011,1581,1600,1621,1637,1527,1710,958,1706,1734,1670,1571,1996
Collins Garden Branch Library,5376,557,602,556,513,599,527,268,564,545,513,464,766
Converse Community Event Center,9670,744,829,911,808,888,1021,546,976,889,962,970,1126
Copernicus Community Center,4183,712,505,471,391,497,352,149,396,326,355,300,529
Cortez Library,5460,686,623,520,528,537,532,272,595,536,538,467,726
East Central ISD Admin Office,3563,501,442,386,369,404,326,151,390,323,280,239,552
Encino Branch Library,18196,1836,1796,1952,2004,2122,1939,1247,2217,2275,2227,2123,2369
Fair Oaks Ranch Police Dept (Training Rm),11017,1050,1142,1154,1123,1178,1182,675,1361,1316,1289,1213,1334
Frank Garrett Multi Center,3323,219,412,509,457,536,344,151,326,342,294,234,455
Great Northwest Branch Library,13725,1105,1163,1231,1253,1249,1573,785,1497,1527,1410,1419,1513
Guerra Branch-Library,6020,707,673,634,669,646,704,375,722,697,702,665,826
Helotes City Hall,15827,1491,1532,1582,1668,1743,1661,905,1914,1850,1763,1561,2057
Igo Branch Library,13303,1552,1577,1510,1570,1543,1533,820,1676,1644,1605,1386,1807
Johnston Branch Library,7188,874,882,894,896,903,814,400,897,901,832,725,1165
Kirby City Hall,7402,934,738,716,715,874,652,367,712,678,615,566,955
Leon Valley Conference Center,12791,1270,1311,1326,1260,1327,1327,719,1513,1442,1366,1275,1615
Lions Field Adult and Senior Center,10777,998,1053,1155,1120,1119,1168,605,1350,1333,1311,1155,1310
Macedonia Baptist Church,3838,230,381,458,491,547,386,216,488,432,306,301,610
Maverick Branch Library,13643,1276,1409,1377,1419,1418,1551,847,1487,1379,1443,1317,1720
McCreless Branch Library,10028,1022,1012,1020,1027,1060,1003,511,1120,1057,1061,979,1216
Memorial Library,7333,662,758,787,791,792,750,348,792,783,762,726,943
Mission Branch Library,7871,810,930,885,827,873,712,389,781,791,744,712,1017
Northeast Lakeview College,6174,611,553,629,609,669,543,343,633,632,608,516,731
Northside Activity Center,8357,795,794,850,813,863,923,487,905,898,1016,820,993
Northwest Vista College,21655,2000,1954,1938,1908,1931,2010,1076,1990,2157,2217,1885,2689
Our Lady of the Lake University,5486,629,598,477,499,602,456,242,462,437,447,379,710
Palo Alto College,3747,448,430,420,439,414,414,235,390,321,364,299,571
Parman Branch Library at Stone Oak,14292,1354,1411,1401,1373,1445,1644,963,1746,1711,1764,1686,1854
Precinct 1 Satellite Office,5928,817,689,600,594,625,360,149,520,482,473,502,892
Precinct 3 Satellite Office,10055,897,998,1017,954,973,963,553,1178,1184,1130,998,1208
Sac Victory Center,6695,784,752,832,906,874,675,432,876,896,871,697,976
Schaefer Branch Library,6010,833,856,761,729,735,678,403,624,564,512,494,801
Semmes Branch Library,17235,1513,1559,1631,1700,1709,1771,988,1925,1922,1800,1699,2057
Shavano Park City Hall,13331,1184,1332,1149,1325,1317,1291,700,1410,1377,1538,1194,1323
Somerset City Hall,3302,548,415,376,362,388,303,135,295,296,289,234,480
Southside ISD Admin Building,2977,472,451,340,358,340,307,169,310,255,257,275,496
St Hedwig-City Hall,3162,398,355,336,394,457,351,168,393,298,275,271,498
Texas A&M (San Antonio),3784,352,346,331,357,337,284,151,348,342,328,252,457
Thousand Oaks Branch Library,7390,714,718,798,738,743,843,448,873,900,855,803,965
Tobin Library at Oakwell,11947,1362,1431,1476,1257,1228,1301,771,1363,1562,1586,1335,1633
Universal City Library,10552,1068,1223,1232,1248,1303,993,525,1290,1160,1053,938,1320
UTSA,13838,1212,1591,1554,1639,1841,1442,911,1696,1794,1715,1557,1927
Windcrest Civic Center,7059,842,848,800,865,964,797,424,980,901,806,668,949
Wonderland of the Americas,12333,1244,1174,1231,1192,1194,1262,687,1393,1378,1330,1233,1475
Woodlawn Pointe Center for Comm,6024,480,559,516,590,587,550,280,566,522,536,420,639
Total in Person,241250,37583,39855,40905,40908,42839,41426,22095,43110,42562,41180,37937,47249
