"Early Voting Location","Total","10/20/25","10/21/25","10/22/25","10/23/25","10/24/25"
"Bexar County Elections Department","1032","204","192","213","211","212"
"Bexar County Justice Center","965","175","224","234","197","135"
"Brookhollow Branch Library","3352","585","709","675","686","697"
"Castle Hills City Hall","1347","215","314","295","240","283"
"Christian Family Baptist Church","561","91","121","120","98","131"
"Claude Black Community Center","620","140","177","127","98","78"
"Cody Branch Library","2447","465","360","505","458","499"
"Collins Garden Branch Library","436","82","89","99","82","84"
"Converse Community Event Center","1148","255","238","222","207","226"
"Copernicus Community Center","357","70","82","76","49","80"
"Cortez Branch Library","456","98","114","82","86","76"
"East Central ISD Admin","349","58","55","74","90","72"
"Encino Branch Library","2426","387","489","503","493","554"
"Fair Oaks Ranch Police Dept.","1143","175","232","197","262","277"
"Frank Garrett Multi Service Center","110","18","32","22","24","14"
"Great Northwest Branch Library","2154","377","496","384","437","460"
"Guerra Branch Library","819","174","163","174","155","153"
"Igo Branch Library","2472","415","476","523","492","566"
"Johnston Branch Library","739","172","164","138","129","134"
"Kirby City Hall","441","91","80","85","79","106"
"Leon Valley Conference Center","1323","240","266","279","256","282"
"Lion's Field Adult and Senior Center","2835","596","633","511","540","555"
"Macedonia Baptist Church","137","23","22","20","32","40"
"Maverick Branch Library","2413","425","518","493","428","549"
"McCreless Branch Library","1398","304","289","281","254","270"
"Memorial Branch Library","756","155","168","162","127","144"
"Mission Branch Library","1105","284","254","200","177","190"
"Northeast Lakeview College","313","61","48","62","69","73"
"Northside Activity Center","1023","185","231","207","198","202"
"Northwest Vista College","1253","225","271","218","249","290"
"Our Lady of the Lake University","421","84","92","78","86","81"
"Palo Alto College","193","37","36","33","41","46"
"Parman Branch Library @ Stone Oak","2305","294","460","469","502","471"
"Precinct 1 Satellite Office","641","132","147","136","99","127"
"Precinct 3 Satellite Office","1118","205","255","232","216","210"
"San Antonio College","820","157","178","179","149","157"
"Schaefer Branch Library","766","163","154","157","137","151"
"Semmes Branch Library","2380","453","540","496","439","452"
"Shavano Park City Hall","1751","196","475","374","339","366"
"Somerset City Hall","166","22","31","19","36","38"
"Southside ISD Administration Building","188","23","47","34","33","51"
"St Hedwig City Hall","198","38","40","53","29","38"
"St. Phillips College","103","20","25","24","14","20"
"Texas A&M University","184","37","41","42","32","32"
"Thousand Oaks Branch Library","498","84","98","111","97","108"
"Tobin Branch Library @ Oakwell","2475","459","534","497","514","471"
"Universal City Library","1193","220","267","245","230","231"
"University of Texas at San Antonio","801","123","153","133","232","160"
"Windcrest Civic Center","884","198","191","195","139","161"
"Wonderland Mall of the Americas","1757","376","361","339","340","341"
"Woodlawn Pointe Center Community","422","92","61","69","102","98"
"Total in Person","55194","10158","11693","11096","10709","11242"
